p,T,viscosity,x1
9913000,313.05,0.0004416,0.1048
14815000,313.05,0.0004592,0.1048
21696000,313.05,0.0004794,0.1048
24626000,313.05,0.0005074,0.1048
101000,328.05,0.0003436,0.1048
4995000,328.05,0.0003626,0.1048
9913000,328.05,0.0003784,0.1048
14815000,328.05,0.0004013,0.1048
21696000,328.05,0.0004172,0.1048
24626000,328.05,0.0004372,0.1048
101000,343.15,0.0002963,0.1048
4995000,343.15,0.000314,0.1048
9913000,343.15,0.0003323,0.1048
14815000,343.15,0.0003472,0.1048
21696000,343.15,0.0003632,0.1048
24626000,343.15,0.0003816,0.1048
101000,358.15,0.0002603,0.1048
4995000,358.15,0.0002742,0.1048
9913000,358.15,0.0002919,0.1048
14815000,358.15,0.0003088,0.1048
21696000,358.15,0.0003243,0.1048
24626000,358.15,0.0003396,0.1048
4995000,373.15,0.0002472,0.1048
9913000,373.15,0.0002589,0.1048
14815000,373.15,0.0002721,0.1048
21696000,373.15,0.0002898,0.1048
24626000,373.15,0.000303,0.1048
