p,T,viscosity,Phase
140000,305.2,0.000796,liquid
960000,305.1,0.000801,liquid
1960000,305.2,0.000819,liquid
3940000,305.2,0.000839,liquid
2920000,313.8,0.000721,liquid
150000,323.7,0.000601,liquid
1020000,324.0,0.000616,liquid
1990000,323.7,0.000614,liquid
4000000,323.7,0.000631,liquid
140000,348.9,0.000432,liquid
990000,348.9,0.00044,liquid
2080000,348.9,0.000445,liquid
3030000,348.9,0.000451,liquid
3930000,348.9,0.000449,liquid
970000,373.7,0.000331,liquid
2020000,373.7,0.000336,liquid
2930000,373.7,0.00034,liquid
3960000,373.7,0.000346,liquid
960000,398.2,0.000258,liquid
2000000,398.1,0.000262,liquid
2940000,398.2,0.000266,liquid
4010000,398.1,0.00027,liquid
960000,422.4,0.000204,liquid
1970000,422.5,0.000209,liquid
2960000,422.5,0.000214,liquid
3960000,422.5,0.000216,liquid
1010000,447.5,0.000165,liquid
2040000,447.6,0.000165,liquid
3010000,447.7,0.00017,liquid
4000000,447.7,0.000174,liquid
1930000,473.4,0.000131,liquid
3000000,473.3,0.000138,liquid
3930000,473.4,0.000139,liquid
3020000,498.2,0.000106,liquid
3050000,497.9,0.000106,liquid
3980000,498.1,0.00011,liquid
4020000,498.3,0.00011,liquid
3050000,523.0,7.91e-5,liquid
3970000,523.0,8.56e-5,liquid
