p,T,viscosity,Phase
2110000,423.5,0.000251,liquid
2960000,423.4,0.000254,liquid
3940000,423.4,0.000258,liquid
1060000,447.7,0.000206,liquid
1990000,447.7,0.000209,liquid
2960000,447.7,0.000212,liquid
3990000,447.7,0.000216,liquid
2150000,473.4,0.000174,liquid
2920000,473.4,0.000177,liquid
3990000,473.4,0.00018,liquid
2090000,498.3,0.000146,liquid
3060000,498.3,0.00015,liquid
3890000,498.2,0.000152,liquid
1060000,523.1,0.000118,liquid
1940000,523.1,0.000122,liquid
3000000,523.1,0.000126,liquid
3970000,523,0.000129,liquid
1070000,547.9,9.57E-05,liquid
1980000,547.9,0.0001,liquid
2940000,547.9,0.000105,liquid
4000000,547.9,0.000108,liquid
1930000,573.6,7.96E-05,liquid
2970000,573.7,8.55E-05,liquid
4030000,573.8,9.10E-05,liquid
2090000,598.5,6.19E-05,liquid
2980000,598.5,6.96E-05,liquid
4020000,598.4,7.45E-05,liquid
40100000,292.15,0.001625,liquid
35100000,292.15,0.001535,liquid
30100000,292.15,0.001442,liquid
25100000,292.15,0.00136,liquid
20100000,292.15,0.001277,liquid
15100000,292.15,0.001205,liquid
10100000,292.15,0.001122,liquid
5100000,292.15,0.001051,liquid
100000,292.15,0.000973,liquid
40100000,317.15,0.001082,liquid
35100000,317.15,0.00103,liquid
30100000,317.15,0.000972,liquid
25100000,317.15,0.000916,liquid
20100000,317.15,0.000854,liquid
15100000,317.15,0.000804,liquid
10100000,317.15,0.000758,liquid
5100000,317.15,0.000711,liquid
100000,317.15,0.000662,liquid
40100000,335.15,0.000824,liquid
35100000,335.15,0.000782,liquid
30100000,335.15,0.000738,liquid
25100000,335.15,0.000704,liquid
20100000,335.15,0.00066,liquid
15100000,335.15,0.000627,liquid
10100000,335.15,0.000585,liquid
5100000,335.15,0.000548,liquid
100000,335.15,0.000517,liquid
40100000,354.15,0.000643,liquid
35100000,354.15,0.000613,liquid
30100000,354.15,0.000581,liquid
25100000,354.15,0.000552,liquid
20100000,354.15,0.00052,liquid
15100000,354.15,0.000496,liquid
10100000,354.15,0.000468,liquid
5100000,354.15,0.000447,liquid
100000,354.15,0.000414,liquid
40100000,373.15,0.000528,liquid
35100000,373.15,0.000501,liquid
30100000,373.15,0.000478,liquid
25100000,373.15,0.000458,liquid
20100000,373.15,0.000438,liquid
15100000,373.15,0.000413,liquid
10100000,373.15,0.000392,liquid
5100000,373.15,0.000371,liquid
100000,373.15,0.000353,liquid
40100000,392.15,0.000453,liquid
35100000,392.15,0.00043,liquid
30100000,392.15,0.000414,liquid
25100000,392.15,0.00039,liquid
20100000,392.15,0.000375,liquid
15100000,392.15,0.000353,liquid
10100000,392.15,0.000336,liquid
5100000,392.15,0.000361,liquid
100000,392.15,0.0003,liquid
