p,T,viscosity,Phase
5000000,563.2,0.0001305,liquid
5000000,573.2,0.0001221,liquid
5000000,583.3,0.0001141,liquid
5000000,593.2,0.0001064,liquid
5000000,603.2,9.87e-5,liquid
5000000,613.2,9.15e-5,liquid
5000000,623.1,8.49e-5,liquid
5000000,633.2,7.86e-5,liquid
5000000,643.1,7.14e-5,liquid
5000000,653.2,6.5e-5,liquid
5000000,663.2,6.05e-5,liquid
5000000,673.2,5.48e-5,liquid
5000000,673.2,5.48e-5,liquid
100000,293.15,0.0014907,liquid
1000000,293.15,0.0015074,liquid
5000000,293.15,0.0015864,liquid
10000000,293.15,0.0016724,liquid
20000000,293.15,0.0018769,liquid
30000000,293.15,0.0020836,liquid
40000000,293.15,0.0023101,liquid
50000000,293.15,0.0025603,liquid
60000000,293.15,0.0028216,liquid
70000000,293.15,0.003112,liquid
80000000,293.15,0.0034276,liquid
100000000,293.15,0.0041175,liquid
120000000,293.15,0.0049531,liquid
140000000,293.15,0.0058158,liquid
100000,313.15,0.0010641,liquid
1000000,313.15,0.0010744,liquid
5000000,313.15,0.0011244,liquid
10000000,313.15,0.0012006,liquid
20000000,313.15,0.0013242,liquid
30000000,313.15,0.0014755,liquid
40000000,313.15,0.0016251,liquid
50000000,313.15,0.0017785,liquid
60000000,313.15,0.0019457,liquid
70000000,313.15,0.0021286,liquid
80000000,313.15,0.0023197,liquid
100000000,313.15,0.0027576,liquid
120000000,313.15,0.0032313,liquid
140000000,313.15,0.0037547,liquid
100000,333.15,0.0008013,liquid
1000000,333.15,0.0008127,liquid
5000000,333.15,0.000855,liquid
10000000,333.15,0.0008975,liquid
20000000,333.15,0.0010008,liquid
30000000,333.15,0.0010953,liquid
40000000,333.15,0.0012161,liquid
50000000,333.15,0.0013214,liquid
60000000,333.15,0.0014401,liquid
70000000,333.15,0.001576,liquid
80000000,333.15,0.0017068,liquid
100000000,333.15,0.001994,liquid
120000000,333.15,0.0023016,liquid
140000000,333.15,0.0026571,liquid
100000,353.15,0.0006281,liquid
1000000,353.15,0.0006372,liquid
5000000,353.15,0.0006713,liquid
10000000,353.15,0.0007053,liquid
20000000,353.15,0.0007819,liquid
30000000,353.15,0.0008694,liquid
40000000,353.15,0.0009528,liquid
50000000,353.15,0.0010366,liquid
60000000,353.15,0.001123,liquid
70000000,353.15,0.0012126,liquid
80000000,353.15,0.0013124,liquid
100000000,353.15,0.0015316,liquid
120000000,353.15,0.0017568,liquid
140000000,353.15,0.0020233,liquid
100000,373.15,0.0005055,liquid
1000000,373.15,0.0005149,liquid
5000000,373.15,0.0005392,liquid
10000000,373.15,0.0005743,liquid
20000000,373.15,0.0006286,liquid
30000000,373.15,0.0007003,liquid
40000000,373.15,0.0007715,liquid
50000000,373.15,0.0008425,liquid
60000000,373.15,0.00091,liquid
70000000,373.15,0.0009844,liquid
80000000,373.15,0.0010656,liquid
100000000,373.15,0.0012199,liquid
120000000,373.15,0.0014019,liquid
140000000,373.15,0.001588,liquid
