p,T,viscosity,AAD,Phase
12900000,303.9,0.003184,0.024281846,liquid
19000000,303.9,0.003454,0.037207378,liquid
26800000,303.9,0.003793,0.061633162,liquid
33600000,303.9,0.004107,0.082805925,liquid
8100000,325.7,0.001943,0.017035611,liquid
8300000,325.7,0.001956,0.020541193,liquid
21500000,325.7,0.002263,0.031623671,liquid
35600000,325.7,0.002675,0.064852931,liquid
49300000,325.7,0.003067,0.116080963,liquid
63600000,325.7,0.00355,0.158555086,liquid
77500000,325.7,0.004056,0.204075186,liquid
91800000,325.7,0.004625,0.252764279,liquid
104100000,325.7,0.005179,0.290658994,liquid
119200000,325.7,0.005865,0.352206086,liquid
122700000,325.7,0.00607,0.358481807,liquid
12800000,429.1,0.000582,0.137335639,liquid
12800000,429.1,0.000586,0.143224133,liquid
22200000,429.1,0.000649,0.116690826,liquid
22700000,429.1,0.00065,0.11205804,liquid
35800000,429.1,0.000742,0.078842387,liquid
70500000,429.1,0.00101,0.002287668,liquid
91600000,429.1,0.001181,0.060575524,liquid
118800000,429.1,0.001405,0.150652107,liquid
140300000,429.1,0.001594,0.226427169,liquid
167800000,429.1,0.001847,0.333870912,liquid
188000000,429.1,0.002046,0.417392944,liquid
222900000,429.1,0.002459,0.545945686,liquid
14100000,533.7,0.000272,0.144362984,liquid
14300000,533.7,0.000276,0.154084124,liquid
29900000,533.7,0.000341,0.145237342,liquid
30100000,533.7,0.000342,0.145532691,liquid
50400000,533.7,0.00043,0.136728669,liquid
50500000,533.7,0.000433,0.141778255,liquid
77100000,533.7,0.000534,0.091489129,liquid
104600000,533.7,0.000642,0.037502691,liquid
125000000,533.7,0.000721,0.010262229,liquid
152800000,533.7,0.000829,0.08308309,liquid
188400000,533.7,0.000983,0.171599509,liquid
210000000,533.7,0.001077,0.233758437,liquid
226600000,533.7,0.001154,0.280873672,liquid
