p,T,viscosity,Phase
58900000,323.15,0.0003974,liquid
210000,313,0.0002578,liquid
210000,313,0.0002581,liquid
5860000,313,0.0002764,liquid
5880000,313,0.000277,liquid
14310000,313,0.0003,liquid
14320000,313,0.0003004,liquid
23910000,313,0.0003263,liquid
23950000,313,0.0003264,liquid
34290000,313,0.0003569,liquid
34290000,313,0.0003573,liquid
44630000,313,0.0003874,liquid
44630000,313,0.0003868,liquid
54990000,313,0.0004183,liquid
6700000,323,0.0002538,liquid
6830000,323,0.0002538,liquid
15130000,323,0.0002798,liquid
15130000,323,0.0002776,liquid
23990000,323,0.0002997,liquid
24010000,323,0.0002995,liquid
34330000,323,0.0003281,liquid
34390000,323,0.000328,liquid
44640000,323,0.0003576,liquid
44660000,323,0.0003576,liquid
54990000,323,0.0003887,liquid
55000000,323,0.00039,liquid
63920000,323,0.0004191,liquid
7260000,348,0.0002062,liquid
7290000,348,0.0002053,liquid
16020000,348,0.0002292,liquid
16050000,348,0.0002275,liquid
24190000,348,0.0002532,liquid
34210000,348,0.000273,liquid
34290000,348,0.0002729,liquid
44820000,348,0.0002994,liquid
55340000,348,0.0003338,liquid
55430000,348,0.0003347,liquid
7260000,373,0.0001812,liquid
7430000,373,0.0001785,liquid
15520000,373,0.0002086,liquid
15650000,373,0.0002092,liquid
25440000,373,0.0002094,liquid
25510000,373,0.0002133,liquid
34890000,373,0.0002324,liquid
34930000,373,0.0002321,liquid
44840000,373,0.0002551,liquid
55440000,373,0.0002855,liquid
55490000,373,0.0002847,liquid
65850000,373,0.0003086,liquid
7740000,398,0.0001421,liquid
15080000,398,0.0001666,liquid
24730000,398,0.0001928,liquid
34240000,398,0.0002058,liquid
44540000,398,0.0002222,liquid
54960000,398,0.0002401,liquid
65340000,398,0.0002671,liquid
10790000,423,0.0001316,liquid
16930000,423,0.000146,liquid
24010000,423,0.0001607,liquid
24030000,423,0.0001618,liquid
34210000,423,0.0001828,liquid
44610000,423,0.00021,liquid
44630000,423,0.0002103,liquid
44650000,423,0.0002106,liquid
55640000,423,0.0002126,liquid
55730000,423,0.0002105,liquid
63250000,423,0.0002205,liquid
13160000,448,0.000114,liquid
20580000,448,0.0001299,liquid
27440000,448,0.0001507,liquid
27480000,448,0.0001514,liquid
34260000,448,0.0001584,liquid
34300000,448,0.0001586,liquid
41100000,448,0.0001693,liquid
41160000,448,0.0001696,liquid
52300000,448,0.000188,liquid
52490000,448,0.0001885,liquid
