p,T,viscosity,Phase
4.90E+07,373.15,0.0002052,liquid
1.47E+06,398.15,9.47E-05,liquid
1.96E+06,398.15,9.61E-05,liquid
2.45E+06,398.15,9.72E-05,liquid
2.94E+06,398.15,9.86E-05,liquid
3.25E+06,398.15,9.93E-05,liquid
3.43E+06,398.15,9.99E-05,liquid
3.92E+06,398.15,0.000101,liquid
4.90E+06,398.15,0.0001033,liquid
5.88E+06,398.15,0.0001054,liquid
6.86E+06,398.15,0.0001078,liquid
7.85E+06,398.15,0.00011,liquid
9.81E+06,398.15,0.0001139,liquid
1.47E+07,398.15,0.0001239,liquid
1.96E+07,398.15,0.0001333,liquid
2.45E+07,398.15,0.000142,liquid
2.94E+07,398.15,0.0001505,liquid
3.92E+07,398.15,0.0001665,liquid
4.90E+07,398.15,0.0001818,liquid
2.45E+06,448.15,5.52E-05,liquid
2.94E+06,448.15,5.81E-05,liquid
3.25E+06,448.15,5.95E-05,liquid
3.43E+06,448.15,6.01E-05,liquid
3.92E+06,448.15,6.23E-05,liquid
4.90E+06,448.15,6.61E-05,liquid
5.88E+06,448.15,6.95E-05,liquid
6.86E+06,448.15,7.22E-05,liquid
7.85E+06,448.15,7.48E-05,liquid
9.81E+06,448.15,8.00E-05,liquid
1.47E+07,448.15,9.01E-05,liquid
1.96E+07,448.15,9.94E-05,liquid
2.45E+07,448.15,0.0001076,liquid
2.94E+07,448.15,0.0001153,liquid
3.92E+07,448.15,0.0001299,liquid
4.90E+07,448.15,0.0001444,liquid
1.96E+06,423.15,7.43E-05,liquid
2.45E+06,423.15,7.64E-05,liquid
2.94E+06,423.15,7.78E-05,liquid
3.25E+06,423.15,7.88E-05,liquid
3.43E+06,423.15,7.94E-05,liquid
3.92E+06,423.15,8.07E-05,liquid
4.90E+06,423.15,8.34E-05,liquid
5.88E+06,423.15,8.59E-05,liquid
6.86E+06,423.15,8.84E-05,liquid
7.85E+06,423.15,9.07E-05,liquid
9.81E+06,423.15,9.50E-05,liquid
1.47E+07,423.15,0.0001046,liquid
1.96E+07,423.15,0.0001133,liquid
2.45E+07,423.15,0.0001218,liquid
2.94E+07,423.15,0.0001301,liquid
3.92E+07,423.15,0.0001461,liquid
4.90E+07,423.15,0.0001608,liquid
7.50E+06,318,0.0001956,liquid
7.51E+06,318,0.0001963,liquid
1.43E+07,318,0.0002116,liquid
1.43E+07,318,0.0002117,liquid
2.09E+07,318,0.0002284,liquid
2.76E+07,318,0.0002413,liquid
2.77E+07,318,0.0002418,liquid
3.45E+07,318,0.0002558,liquid
3.46E+07,318,0.0002559,liquid
4.49E+07,318,0.0002801,liquid
5.53E+07,318,0.0003058,liquid
5.54E+07,318,0.000305,liquid
6.56E+07,318,0.000327,liquid
6.93E+07,318,0.0003322,liquid
1.02E+07,323,0.0001988,liquid
1.55E+07,323,0.0002072,liquid
2.08E+07,323,0.0002197,liquid
2.77E+07,323,0.0002348,liquid
3.45E+07,323,0.0002483,liquid
4.49E+07,323,0.0002717,liquid
